date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:55:52	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-6891f28e-b30c35f9bc69eeb4;gz%22	https://html.ditsolution.net/robots.txt		(from )
08:55:52	39632/39632	U-----	200	untouched ('OK')	text/html	etag:%229ad0-68242ebb-13b8b3e57f7bdf1a;gz%22	https://html.ditsolution.net/bioza/landing/	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/index.html	(from )
08:55:59	495/495	U-----	200	untouched ('')	image/png	etag:%221ef-68242ec1-22269c1cbd75cd9;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/fav-icon/icon.png	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/fav-icon/icon.png	(from https://html.ditsolution.net/bioza/landing/)
08:55:59	161409/161409	U-----	200	untouched ('OK')	text/css	etag:%2227681-68242ec3-23163c0aa8ccac89;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/bootstrap.min.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/bootstrap.min.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:01	2921/2921	U-----	200	untouched ('OK')	text/css	etag:%22b69-68242ec4-72d857cb495c7d47;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/owl.carousel.min.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/owl.carousel.min.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:01	1186/1186	U-----	200	untouched ('OK')	text/css	etag:%224a2-68242ec4-cc14f618e0746962;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/nivo-slider.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/nivo-slider.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:08	59713/59713	U-----	200	untouched ('OK')	text/css	etag:%22e941-68242ec3-fddbc72c1cd3bc87;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/animate.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/animate.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:09	20082/20082	U-----	200	untouched ('OK')	text/css	etag:%224e72-68242ec3-10f8380ccc13905c;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/animated-text.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/animated-text.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:09	102217/102217	U-----	200	untouched ('OK')	text/css	etag:%2218f49-68242ec3-7fd740dbfd4703;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/all.min.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/all.min.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:09	13381/13381	U-----	200	untouched ('OK')	text/css	etag:%223445-68242ec3-3a2db663c88e7617;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/flaticon.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/flaticon.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:11	2502/2502	U-----	200	untouched ('OK')	text/css	etag:%229c6-68242ec4-1bc36a625630048b;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/theme-default.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/theme-default.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:11	27489/27489	U-----	200	untouched ('OK')	text/css	etag:%226b61-68242ec4-4f97d1ecb21a982c;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/font-awesome.min.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/font-awesome.min.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:11	3807/3807	U-----	200	untouched ('OK')	text/css	etag:%22edf-68242ec4-b476587f34c3f24;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/meanmenu.min.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/meanmenu.min.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:12	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-6891f28e-b30c35f9bc69eeb4;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/owl.video.play.png	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/owl.video.play.3a.delayed	(from https://html.ditsolution.net/bioza/landing/assets/css/owl.carousel.min.css)
08:56:17	4476/4476	U-----	200	untouched ('OK')	text/css	etag:%22117c-68242ec4-b443ff88ea466417;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/owl.transitions.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/owl.transitions.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:18	47226/47226	U-----	200	untouched ('OK')	text/css	etag:%22b87a-68242ebc-7055f070286f0d54;gz%22	https://html.ditsolution.net/bioza/landing/style.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/style.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:18	7604/7604	U-----	200	untouched ('OK')	text/css	etag:%221db4-68242ebc-2e53587df0a4af1c;gz%22	https://html.ditsolution.net/bioza/landing/venobox/venobox.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/venobox/venobox.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:19	121/121	U-----	200	untouched ('OK')	text/css	etag:%2279-68242ec4-29526c98bf572bd1;;;%22	https://html.ditsolution.net/bioza/landing/assets/css/widget.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/widget.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:26	6533/6533	U-----	200	untouched ('OK')	text/css	etag:%221985-68242ec4-5509dc9e0918da9b;gz%22	https://html.ditsolution.net/bioza/landing/assets/css/responsive.css	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/css/responsive.css	(from https://html.ditsolution.net/bioza/landing/)
08:56:27	8636/8636	U-----	200	untouched ('OK')	application/x-javascript	etag:%2221bc-68242ec0-b26c0a3e8b0a0d09;gz%22	https://html.ditsolution.net/bioza/landing/assets/js/vendor/modernizr-3.5.0.min.js	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/js/vendor/modernizr-3.5.0.min.js	(from https://html.ditsolution.net/bioza/landing/)
08:56:28	867/867	U-----	200	untouched ('')	image/png	etag:%22363-68242ec1-3504cbae2802f75c;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/logo.png	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/logo.png	(from https://html.ditsolution.net/bioza/landing/)
08:56:29	39632/39632	U-----	200	untouched ('OK')	text/html	etag:%229ad0-68242ebb-13b8b3e57f7bdf1a;gz%22	https://html.ditsolution.net/bioza/landing/index.html	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/index-2.html	(from https://html.ditsolution.net/bioza/landing/)
08:56:29	43860/43860	U-----	200	untouched ('OK')	text/html	etag:%22ab54-68242ebb-ff688519d02e39e2;gz%22	https://html.ditsolution.net/bioza/landing/index-2.html	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/index-3.html	(from https://html.ditsolution.net/bioza/landing/)
08:56:29	63385/63385	U-----	200	untouched ('')	image/png	etag:%22f799-68242ec1-f8bf2272997392e;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/single.png	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/single.png	(from https://html.ditsolution.net/bioza/landing/)
08:56:30	2110/2110	U-----	200	untouched ('')	image/png	etag:%2283e-68242ec0-cc8511dd8fda8ffa;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/br1.png	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/br1.png	(from https://html.ditsolution.net/bioza/landing/)
08:56:32	189684/189684	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%222e4f4-68242ebc-44daa3e5ded232ad;gz%22	https://html.ditsolution.net/bioza/landing/assets/webfonts/fa-brands-400.ttf	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/webfonts/fa-brands-400.ttf	(from https://html.ditsolution.net/bioza/landing/assets/css/all.min.css)
08:56:32	1457/1457	U-----	200	untouched ('')	image/png	etag:%225b1-68242ec0-e87833564d05282f;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/b4.png	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/b4.png	(from https://html.ditsolution.net/bioza/landing/)
08:56:32	269/269	U-----	200	untouched ('')	image/png	etag:%2210d-68242ec0-533beebe6fdeeb91;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/border.png	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/border.png	(from https://html.ditsolution.net/bioza/landing/)
08:56:32	273/273	U-----	200	untouched ('')	image/png	etag:%22111-68242ec0-950f489577bdab46;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/border2.png	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/border2.png	(from https://html.ditsolution.net/bioza/landing/)
08:56:33	2053/2053	U-----	200	untouched ('')	image/png	etag:%22805-68242ec1-15c5e393ad496d05;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/br5.png	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/br5.png	(from https://html.ditsolution.net/bioza/landing/)
08:56:33	1350/1350	U-----	200	untouched ('')	image/png	etag:%22546-68242ec0-2632caf459fbacbb;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/br2.png	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/br2.png	(from https://html.ditsolution.net/bioza/landing/)
08:56:33	14580/14580	U-----	200	untouched ('')	image/jpeg	etag:%2238f4-68242ec1-89294ea1adbf460a;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/p1.jpg	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/p1.jpg	(from https://html.ditsolution.net/bioza/landing/)
08:56:33	5277/5277	U-----	200	untouched ('')	image/jpeg	etag:%22149d-68242ec1-35ed6dbdeaabd3fb;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/p2.jpg	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/p2.jpg	(from https://html.ditsolution.net/bioza/landing/)
08:56:34	39466/39466	U-----	200	untouched ('')	image/jpeg	etag:%229a2a-68242ec1-70e23f852be69e27;;;%22	https://html.ditsolution.net/bioza/landing/assets/images/p4.jpg	C:/Users/CS137/Desktop/Amie-Portafolio/Amie-Portafolio/html.ditsolution.net/bioza/landing/assets/images/p4.jpg	(from https://html.ditsolution.net/bioza/landing/)
